".y.","group1","group2","effsize","node","tract","n1","n2","conf.low","conf.high","magnitude"
"pre","0","1",0.351476505389523,2,"Left_Arcuate",27,56,-0.1,0.8,"small"
"pre","0","1",0.189799607315489,2,"Left_IFOF",27,56,-0.3,0.69,"negligible"
"pre","0","1",-0.0483821897444577,2,"Left_ILF",27,56,-0.4,0.49,"negligible"
"pre","0","1",0.258869104078942,2,"Left_SLF",27,56,-0.23,0.69,"small"
"pre","0","1",0.421323198183962,2,"Right_Arcuate",27,56,-0.15,0.91,"small"
"pre","0","1",0.481973182885967,2,"Right_IFOF",27,56,0.01,1.03,"small"
"pre","0","1",0.0371163029790002,2,"Right_ILF",27,56,-0.39,0.58,"negligible"
"pre","0","1",-0.409720854040756,2,"Right_SLF",27,56,-0.69,-0.07,"small"
"pre","0","1",0.285383666322524,3,"Left_Arcuate",27,56,-0.18,0.78,"small"
"pre","0","1",0.149422436000146,3,"Left_IFOF",27,56,-0.3,0.68,"negligible"
"pre","0","1",0.237473302639204,3,"Left_ILF",27,56,-0.21,0.75,"small"
"pre","0","1",0.0353175082698214,3,"Left_SLF",27,56,-0.46,0.54,"negligible"
"pre","0","1",0.434740738713832,3,"Right_Arcuate",27,56,-0.16,0.92,"small"
"pre","0","1",0.425842907248361,3,"Right_IFOF",27,56,-0.06,0.91,"small"
"pre","0","1",-0.107393079231401,3,"Right_ILF",27,56,-0.58,0.37,"negligible"
"pre","0","1",-0.366594002877641,3,"Right_SLF",27,56,-0.77,0.07,"small"
"pre","0","1",0.425347342084446,4,"Left_Arcuate",27,56,-0.04,0.85,"small"
"pre","0","1",-0.0124540430733855,4,"Left_IFOF",27,56,-0.46,0.46,"negligible"
"pre","0","1",0.331796360271081,4,"Left_ILF",27,56,-0.11,0.86,"small"
"pre","0","1",-0.0562342482357934,4,"Left_SLF",27,56,-0.52,0.43,"negligible"
"pre","0","1",0.455427465630587,4,"Right_Arcuate",27,56,-0.11,0.97,"small"
"pre","0","1",0.386799877350297,4,"Right_IFOF",27,56,-0.08,0.86,"small"
"pre","0","1",-0.0623991274842931,4,"Right_ILF",27,56,-0.53,0.4,"negligible"
"pre","0","1",-0.206899627942456,4,"Right_SLF",27,56,-0.66,0.25,"small"
"pre","0","1",0.493912735729002,5,"Left_Arcuate",27,56,0.05,0.98,"small"
"pre","0","1",-0.223080788564787,5,"Left_IFOF",27,56,-0.69,0.22,"small"
"pre","0","1",0.312375421512064,5,"Left_ILF",27,56,-0.2,0.82,"small"
"pre","0","1",-0.077476917074562,5,"Left_SLF",27,56,-0.54,0.39,"negligible"
"pre","0","1",0.414994063150864,5,"Right_Arcuate",27,56,-0.18,0.97,"small"
"pre","0","1",0.496681135933926,5,"Right_IFOF",27,56,0.01,0.99,"small"
"pre","0","1",0.0622597876599121,5,"Right_ILF",27,56,-0.41,0.56,"negligible"
"pre","0","1",-0.0946002689168177,5,"Right_SLF",27,56,-0.65,0.44,"negligible"
"pre","0","1",0.366516723828012,6,"Left_Arcuate",27,56,-0.1,0.85,"small"
"pre","0","1",-0.310704560980598,6,"Left_IFOF",27,56,-0.8,0.12,"small"
"pre","0","1",0.302554182911716,6,"Left_ILF",27,56,-0.16,0.81,"small"
"pre","0","1",-0.0436477618511084,6,"Left_SLF",27,56,-0.47,0.45,"negligible"
"pre","0","1",0.397202429893372,6,"Right_Arcuate",27,56,-0.15,0.98,"small"
"pre","0","1",0.548711697907821,6,"Right_IFOF",27,56,0.07,1.03,"moderate"
"pre","0","1",0.16316398606799,6,"Right_ILF",27,56,-0.31,0.63,"negligible"
"pre","0","1",-0.0375149695293388,6,"Right_SLF",27,56,-0.65,0.41,"negligible"
"pre","0","1",0.338145443582156,7,"Left_Arcuate",27,56,-0.2,0.81,"small"
"pre","0","1",-0.248949680951132,7,"Left_IFOF",27,56,-0.64,0.18,"small"
"pre","0","1",0.263892518458471,7,"Left_ILF",27,56,-0.15,0.82,"small"
"pre","0","1",0.0280847604851198,7,"Left_SLF",27,56,-0.4,0.57,"negligible"
"pre","0","1",0.425651971815794,7,"Right_Arcuate",27,56,-0.08,1.06,"small"
"pre","0","1",0.562744235827323,7,"Right_IFOF",27,56,0.08,1.11,"moderate"
"pre","0","1",0.153263156497764,7,"Right_ILF",27,56,-0.34,0.67,"negligible"
"pre","0","1",0.0218581794082611,7,"Right_SLF",27,56,-0.57,0.48,"negligible"
"pre","0","1",0.395094680335636,8,"Left_Arcuate",27,56,-0.09,0.88,"small"
"pre","0","1",-0.139596226375032,8,"Left_IFOF",27,56,-0.58,0.28,"negligible"
"pre","0","1",0.231466489694608,8,"Left_ILF",27,56,-0.21,0.72,"small"
"pre","0","1",0.0956913164754139,8,"Left_SLF",27,56,-0.36,0.6,"negligible"
"pre","0","1",0.469040125118572,8,"Right_Arcuate",27,56,-0.02,1.13,"small"
"pre","0","1",0.527725522194216,8,"Right_IFOF",27,56,0.05,1.05,"moderate"
"pre","0","1",0.103138157836183,8,"Right_ILF",27,56,-0.38,0.61,"negligible"
"pre","0","1",0.0799784753553359,8,"Right_SLF",27,56,-0.56,0.56,"negligible"
"pre","0","1",0.34320560685024,9,"Left_Arcuate",27,56,-0.15,0.84,"small"
"pre","0","1",-0.0909606406375708,9,"Left_IFOF",27,56,-0.54,0.37,"negligible"
"pre","0","1",0.193244992756996,9,"Left_ILF",27,56,-0.29,0.68,"negligible"
"pre","0","1",0.14770656263353,9,"Left_SLF",27,56,-0.3,0.63,"negligible"
"pre","0","1",0.54411304723942,9,"Right_Arcuate",27,56,0.03,1.1,"moderate"
