"model","node","Parameter","Cohens_f_partial","CI","CI_low","CI_high","tract"
"1",2,"time",0.189565703510296,0.9,0,0.401197747708035,"Left_Arcuate"
"1",2,"intervention",0.183206343438876,0.9,0,0.349892400203455,"Left_Arcuate"
"1",2,"mean_RMSt",0.00694433174579222,0.9,0,0.047962650873589,"Left_Arcuate"
"1",2,"timeintervention",0.391468666487196,0.9,0.128559447015698,0.594464829377444,"Left_Arcuate"
"10",11,"time",0.0412311609161224,0.9,0,0.232018036635117,"Left_Arcuate"
"10",11,"intervention",0.14710169412816,0.9,0,0.304544325039675,"Left_Arcuate"
"10",11,"mean_RMSt",0.126179027392384,0.9,0,0.291909613260736,"Left_Arcuate"
"10",11,"timeintervention",0.156720553883113,0.9,0,0.330367377120173,"Left_Arcuate"
"11",12,"time",0.0136097552087544,0.9,0,0.131068279095975,"Left_Arcuate"
"11",12,"intervention",0.130048748421248,0.9,0,0.28384375945033,"Left_Arcuate"
"11",12,"mean_RMSt",0.145858225121124,0.9,0,0.311996830624122,"Left_Arcuate"
"11",12,"timeintervention",0.137772749871474,0.9,0,0.306920709659413,"Left_Arcuate"
"12",13,"time",0.0136538838846045,0.9,0,0.129946609059213,"Left_Arcuate"
"12",13,"intervention",0.107948333980175,0.9,0,0.255134923615814,"Left_Arcuate"
"12",13,"mean_RMSt",0.173221751163662,0.9,0,0.33916521196316,"Left_Arcuate"
"12",13,"timeintervention",0.0757620169835576,0.9,0,0.204690131752316,"Left_Arcuate"
"13",14,"time",0.0234398657090953,0.9,0,0.187994048847006,"Left_Arcuate"
"13",14,"intervention",0.103693274136779,0.9,0,0.250801146324517,"Left_Arcuate"
"13",14,"mean_RMSt",0.172112141424338,0.9,0,0.330697245693549,"Left_Arcuate"
"13",14,"timeintervention",0.129883748003192,0.9,0,0.298388019540195,"Left_Arcuate"
"14",15,"time",0.000483779750272487,0.9,0,0,"Left_Arcuate"
"14",15,"intervention",0.125951838720363,0.9,0,0.282719333122976,"Left_Arcuate"
"14",15,"mean_RMSt",0.178724466834143,0.9,0,0.331805449996966,"Left_Arcuate"
"14",15,"timeintervention",0.174807215793302,0.9,0,0.354404666370355,"Left_Arcuate"
"15",16,"time",0.0420754236920628,0.9,0,0.235347408251852,"Left_Arcuate"
"15",16,"intervention",0.167471711421389,0.9,0,0.33391565191969,"Left_Arcuate"
"15",16,"mean_RMSt",0.194843026290377,0.9,0.0317020830498865,0.349198854506717,"Left_Arcuate"
"15",16,"timeintervention",0.236687228518865,0.9,0,0.425769223187944,"Left_Arcuate"
"16",17,"time",0.098559529856795,0.9,0,0.30706301279571,"Left_Arcuate"
"16",17,"intervention",0.200400187865844,0.9,0,0.300275062575131,"Left_Arcuate"
"16",17,"mean_RMSt",0.224643665173576,0.9,0.0631000420080222,0.383711712641042,"Left_Arcuate"
"16",17,"timeintervention",0.280575079540874,0.9,0,0.473434917492632,"Left_Arcuate"
"17",18,"time",0.166805792878164,0.9,0,0.378619492751099,"Left_Arcuate"
"17",18,"intervention",0.221024981678521,0.9,0,0.392572761751336,"Left_Arcuate"
"17",18,"mean_RMSt",0.251617109345568,0.9,0.0859199628817172,0.415741364552489,"Left_Arcuate"
"17",18,"timeintervention",0.276261674750202,0.9,0,0.469920640632636,"Left_Arcuate"
"18",19,"time",0.194803082724119,0.9,0,0.406730288939478,"Left_Arcuate"
"18",19,"intervention",0.249477915573036,0.9,0,0.423775298693007,"Left_Arcuate"
"18",19,"mean_RMSt",0.268708084884557,0.9,0.103149080330681,0.432889887074365,"Left_Arcuate"
"18",19,"timeintervention",0.265276361167772,0.9,0,0.45756931280329,"Left_Arcuate"
"19",20,"time",0.221717009422614,0.9,0,0.431351264022787,"Left_Arcuate"
"19",20,"intervention",0.260477067412995,0.9,0,0.434067362069212,"Left_Arcuate"
"19",20,"mean_RMSt",0.292358876262738,0.9,0.127354137827659,0.4559857878971,"Left_Arcuate"
"19",20,"timeintervention",0.260552667213993,0.9,0,0.450072156785066,"Left_Arcuate"
"2",3,"time",0.129109843542159,0.9,0,0.323683941041761,"Left_Arcuate"
"2",3,"intervention",0.158181187533194,0.9,0,0.31522202610784,"Left_Arcuate"
"2",3,"mean_RMSt",0.0612956447104516,0.9,0,0.207145452726668,"Left_Arcuate"
"2",3,"timeintervention",0.227818413394578,0.9,0,0.403253568373304,"Left_Arcuate"
"20",21,"time",0.257815337067975,0.9,0.0290176210034515,0.467045629372623,"Left_Arcuate"
"20",21,"intervention",0.23934916176574,0.9,0,0.40975099785498,"Left_Arcuate"
"20",21,"mean_RMSt",0.302307415927733,0.9,0.135724547653226,0.467451774279508,"Left_Arcuate"
"20",21,"timeintervention",0.257576713129972,0.9,0,0.445741236209273,"Left_Arcuate"
"21",22,"time",0.297255361531705,0.9,0.0812091199149975,0.508753793230726,"Left_Arcuate"
"21",22,"intervention",0.186160991923391,0.9,0,0.350624610809524,"Left_Arcuate"
"21",22,"mean_RMSt",0.302909841119189,0.9,0.133532168039391,0.470794878573605,"Left_Arcuate"
"21",22,"timeintervention",0.248769220173089,0.9,0,0.436934258642341,"Left_Arcuate"
"22",23,"time",0.288806989433054,0.9,0.0699672536873982,0.501527808359009,"Left_Arcuate"
"22",23,"intervention",0.11748742298506,0.9,0,0.268037851585179,"Left_Arcuate"
"22",23,"mean_RMSt",0.292042499555312,0.9,0.122821304062549,0.459804316025071,"Left_Arcuate"
"22",23,"timeintervention",0.213756274998363,0.9,0,0.398831210679123,"Left_Arcuate"
"23",24,"time",0.268670837993155,0.9,0.0435904051815706,0.480668804007055,"Left_Arcuate"
"23",24,"intervention",0.0642216828449738,0.9,0,0.174238339064751,"Left_Arcuate"
"23",24,"mean_RMSt",0.272247863772391,0.9,0.106155296113205,0.436959025142722,"Left_Arcuate"
"23",24,"timeintervention",0.151814011337885,0.9,0,0.325550979567617,"Left_Arcuate"
"24",25,"time",0.225561970923221,0.9,0,0.434699695800206,"Left_Arcuate"
"24",25,"intervention",0.0864584365797009,0.9,0,0.221326725356092,"Left_Arcuate"
"24",25,"mean_RMSt",0.247034128318279,0.9,0.0856036185955732,0.40702655624258,"Left_Arcuate"
"24",25,"timeintervention",0.108178707900579,0.9,0,0.264806273482598,"Left_Arcuate"
"25",26,"time",0.173438950025291,0.9,0,0.377444688262318,"Left_Arcuate"
"25",26,"intervention",0.148536963648371,0.9,0,0.307157914060318,"Left_Arcuate"
"25",26,"mean_RMSt",0.213432006786177,0.9,0.0568656034681948,0.367241092955483,"Left_Arcuate"
"25",26,"timeintervention",0.0918250279856579,0.9,0,0.236060866972708,"Left_Arcuate"
"26",27,"time",0.133906278434286,0.9,0,0.334453102778828,"Left_Arcuate"
"26",27,"intervention",0.18388068897449,0.9,0,0.347662971529287,"Left_Arcuate"
"26",27,"mean_RMSt",0.187126100383097,0.9,0.0253875508913075,0.33786611298627,"Left_Arcuate"
"26",27,"timeintervention",0.0962747987981612,0.9,0,0.242655742579102,"Left_Arcuate"
"27",28,"time",0.120482483148817,0.9,0,0.322591120889956,"Left_Arcuate"
"27",28,"intervention",0.171507467317516,0.9,0,0.334259851098364,"Left_Arcuate"
"27",28,"mean_RMSt",0.178904467566103,0.9,0,0.330522366377438,"Left_Arcuate"
"27",28,"timeintervention",0.103229196303582,0.9,0,0.254725504639745,"Left_Arcuate"
"28",29,"time",0.128630736225246,0.9,0,0.335049818627452,"Left_Arcuate"
"28",29,"intervention",0.123764571854683,0.9,0,0.277373936008339,"Left_Arcuate"
"28",29,"mean_RMSt",0.196266539561277,0.9,0.0329016047671977,0.351222140247637,"Left_Arcuate"
"28",29,"timeintervention",0.128202186936213,0.9,0,0.293207866675561,"Left_Arcuate"
"29",30,"time",0.156875361181538,0.9,0,0.367147805104579,"Left_Arcuate"
"29",30,"intervention",0.0670867869044463,0.9,0,0.181742430315612,"Left_Arcuate"
"29",30,"mean_RMSt",0.221472391530742,0.9,0.060529291474964,0.379744151779208,"Left_Arcuate"
"29",30,"timeintervention",0.148369921356241,0.9,0,0.321691960064638,"Left_Arcuate"
"3",4,"time",0.0377413926792506,0.9,0,0.212690176480029,"Left_Arcuate"
"3",4,"intervention",0.180001795982683,0.9,0,0.338580075989952,"Left_Arcuate"
"3",4,"mean_RMSt",0.107861365315502,0.9,0,0.253611894660164,"Left_Arcuate"
"3",4,"timeintervention",0.14038270572385,0.9,0,0.2991795262431,"Left_Arcuate"
"30",31,"time",0.202421943439133,0.9,0,0.413731593617395,"Left_Arcuate"
"30",31,"intervention",0.0738773309838795,0.9,0,0.110696104310707,"Left_Arcuate"
"30",31,"mean_RMSt",0.229191020072088,0.9,0.0675471426777925,0.388687881586116,"Left_Arcuate"
"30",31,"timeintervention",0.151872344786199,0.9,0,0.326290510170907,"Left_Arcuate"
"31",32,"time",0.234065646561386,0.9,0,0.443745110783774,"Left_Arcuate"
"31",32,"intervention",0.125008777723932,0.9,0,0.279116321785126,"Left_Arcuate"
"31",32,"mean_RMSt",0.22212934342421,0.9,0.0616031665541765,0.380110971595419,"Left_Arcuate"
"31",32,"timeintervention",0.160955051776952,0.9,0,0.336064087432779,"Left_Arcuate"
"32",33,"time",0.237150886491756,0.9,0,0.444794690973798,"Left_Arcuate"
"32",33,"intervention",0.170504204154824,0.9,0,0.333752271722568,"Left_Arcuate"
"32",33,"mean_RMSt",0.218776475556227,0.9,0.0590289568283759,0.375781463259822,"Left_Arcuate"
"32",33,"timeintervention",0.165627551164515,0.9,0,0.340279666666838,"Left_Arcuate"
"33",34,"time",0.225677861746073,0.9,0,0.432940029371113,"Left_Arcuate"
"33",34,"intervention",0.201167249715865,0.9,0,0.368029828677973,"Left_Arcuate"
"33",34,"mean_RMSt",0.22750675700676,0.9,0.0663538868541184,0.386457905500569,"Left_Arcuate"
"33",34,"timeintervention",0.159439776504857,0.9,0,0.332567175247262,"Left_Arcuate"
"34",35,"time",0.217128732219681,0.9,0,0.424777443184605,"Left_Arcuate"
"34",35,"intervention",0.204465171929001,0.9,0,0.371171890338139,"Left_Arcuate"
"34",35,"mean_RMSt",0.249748223168917,0.9,0.0859731376076798,0.412016236938652,"Left_Arcuate"
"34",35,"timeintervention",0.126825110463818,0.9,0,0.290963341464779,"Left_Arcuate"
"35",36,"time",0.236060417348357,0.9,0,0.44475113664787,"Left_Arcuate"
"35",36,"intervention",0.174913665863257,0.9,0,0.337095309193461,"Left_Arcuate"
"35",36,"mean_RMSt",0.284175670120998,0.9,0.116238521116163,0.450693104217691,"Left_Arcuate"
"35",36,"timeintervention",0.0903754618435492,0.9,0,0.234429880409581,"Left_Arcuate"
"36",37,"time",0.264572288786918,0.9,0.041559442892613,0.47409252735716,"Left_Arcuate"
"36",37,"intervention",0.134282564590649,0.9,0,0.288040054167166,"Left_Arcuate"
"36",37,"mean_RMSt",0.318372848687913,0.9,0.146666350479245,0.488486625346297,"Left_Arcuate"
"36",37,"timeintervention",0.0680386120464115,0.9,0,0.184597366283074,"Left_Arcuate"
"37",38,"time",0.271529947295769,0.9,0.0502886638232661,0.482268883767242,"Left_Arcuate"
"37",38,"intervention",0.102552149239811,0.9,0,0.245495487145477,"Left_Arcuate"
"37",38,"mean_RMSt",0.345078295955052,0.9,0.170057311442018,0.51833416874061,"Left_Arcuate"
"37",38,"timeintervention",0.0764205327422706,0.9,0,0.205907719409155,"Left_Arcuate"
"38",39,"time",0.251236692563526,0.9,0,0.461431032055314,"Left_Arcuate"
"38",39,"intervention",0.0886971714968762,0.9,0,0.223955626331128,"Left_Arcuate"
"38",39,"mean_RMSt",0.32575574136948,0.9,0.152675608612518,0.497187772213381,"Left_Arcuate"
"38",39,"timeintervention",0.0910565606804751,0.9,0,0.236002762718396,"Left_Arcuate"
"39",40,"time",0.21019765524705,0.9,0,0.417059346653326,"Left_Arcuate"
"39",40,"intervention",0.0927902318186029,0.9,0,0.230530934491673,"Left_Arcuate"
"39",40,"mean_RMSt",0.288417449189085,0.9,0.1219030258325,0.453535237522843,"Left_Arcuate"
"39",40,"timeintervention",0.127200887848575,0.9,0,0.190594903952448,"Left_Arcuate"
"4",5,"time",0.040211938271675,0.9,0,0.221470967180536,"Left_Arcuate"
"4",5,"intervention",0.196666362942778,0.9,0,0.359221980357409,"Left_Arcuate"
"4",5,"mean_RMSt",0.105125546543182,0.9,0,0.255151253042894,"Left_Arcuate"
"4",5,"timeintervention",0.161175678314079,0.9,0,0.328277186523923,"Left_Arcuate"
