"model","node","fstat","pval","variable","tract"
"1",2,1.88570447940518,0.174069940812757,"risk","leftAF"
"1",2,0.00782319429489892,0.929772518736046,"mean_RMSt","leftAF"
"1",2,0,0,"Residuals","leftAF"
"10",11,0.520470158647552,0.473044042137995,"risk","leftAF"
"10",11,0.520744586333244,0.472927818974134,"mean_RMSt","leftAF"
"10",11,0,0,"Residuals","leftAF"
"11",12,0.42834555663371,0.514946580610892,"risk","leftAF"
"11",12,0.775082564893151,0.381661952619587,"mean_RMSt","leftAF"
"11",12,0,0,"Residuals","leftAF"
"12",13,0.785953130179323,0.378362308220984,"risk","leftAF"
"12",13,0.91261817360364,0.342708250661783,"mean_RMSt","leftAF"
"12",13,0,0,"Residuals","leftAF"
"13",14,1.56548354732927,0.215029645999449,"risk","leftAF"
"13",14,1.14189739805656,0.28892301236144,"mean_RMSt","leftAF"
"13",14,0,0,"Residuals","leftAF"
"14",15,2.61498983028292,0.110356193373272,"risk","leftAF"
"14",15,1.45956956615159,0.231064336978033,"mean_RMSt","leftAF"
"14",15,0,0,"Residuals","leftAF"
"15",16,4.71716859010354,0.0332528584633122,"risk","leftAF"
"15",16,1.60875241099129,0.208869352232548,"mean_RMSt","leftAF"
"15",16,0,0,"Residuals","leftAF"
"16",17,6.09282904232487,0.0160186477163343,"risk","leftAF"
"16",17,1.41984793332017,0.237452826982299,"mean_RMSt","leftAF"
"16",17,0,0,"Residuals","leftAF"
"17",18,6.22079252887046,0.0149902015624096,"risk","leftAF"
"17",18,1.12220125284525,0.293086700145532,"mean_RMSt","leftAF"
"17",18,0,0,"Residuals","leftAF"
"18",19,7.16109843377983,0.00927089139802558,"risk","leftAF"
"18",19,1.14043355479386,0.289229819289667,"mean_RMSt","leftAF"
"18",19,0,0,"Residuals","leftAF"
"19",20,8.00489328103258,0.00608185982161683,"risk","leftAF"
"19",20,1.52969161564286,0.220292184021642,"mean_RMSt","leftAF"
"19",20,0,0,"Residuals","leftAF"
"2",3,1.32280131305279,0.254004030262567,"risk","leftAF"
"2",3,0.817239712649664,0.369089147568944,"mean_RMSt","leftAF"
"2",3,0,0,"Residuals","leftAF"
"20",21,7.00913099021184,0.0100114979781508,"risk","leftAF"
"20",21,1.75031915863968,0.190142188742823,"mean_RMSt","leftAF"
"20",21,0,0,"Residuals","leftAF"
"21",22,4.51337048366711,0.037164293929129,"risk","leftAF"
"21",22,2.1631336213172,0.145837245629853,"mean_RMSt","leftAF"
"21",22,0,0,"Residuals","leftAF"
"22",23,1.9103375167629,0.171320378325179,"risk","leftAF"
"22",23,3.06053943332716,0.0845978634338681,"mean_RMSt","leftAF"
"22",23,0,0,"Residuals","leftAF"
"23",24,0.307239890312661,0.581145455595608,"risk","leftAF"
"23",24,3.82592329695185,0.0544570088360331,"mean_RMSt","leftAF"
"23",24,0,0,"Residuals","leftAF"
