"model","node","fstat","pval","variable","tract"
"1",2,2.19360828428953,0.143727858019331,"time","leftAF"
"1",2,1.21056933942232,0.304009393206948,"intervention","leftAF"
"1",2,0.0050199887187478,0.943651581397502,"mean_RMSt","leftAF"
"1",2,4.529088644386,0.0147889419938324,"timeintervention","leftAF"
"10",11,0.106623986330946,0.745108068925313,"time","leftAF"
"10",11,0.815037746373637,0.44648714704396,"intervention","leftAF"
"10",11,1.57437483058743,0.212530312640046,"mean_RMSt","leftAF"
"10",11,0.749001497293916,0.477137221671878,"timeintervention","leftAF"
"11",12,0.0115203461163217,0.914870384542381,"time","leftAF"
"11",12,0.632311150911474,0.534179343187532,"intervention","leftAF"
"11",12,2.09810000785097,0.150654340208165,"mean_RMSt","leftAF"
"11",12,0.573845541738223,0.566392874825413,"timeintervention","leftAF"
"12",13,0.0113980914590583,0.915327468385984,"time","leftAF"
"12",13,0.427559591882423,0.653712494822462,"intervention","leftAF"
"12",13,2.97666038957867,0.0875872944272785,"mean_RMSt","leftAF"
"12",13,0.170372807032568,0.843761244511565,"timeintervention","leftAF"
"13",14,0.0333049293319021,0.855802164591248,"time","leftAF"
"13",14,0.379411705058015,0.685651062207364,"intervention","leftAF"
"13",14,3.21792790915024,0.075617739858266,"mean_RMSt","leftAF"
"13",14,0.49373312253503,0.612862430437616,"timeintervention","leftAF"
"14",15,1.44024516177037e-05,0.996984266584564,"time","leftAF"
"14",15,0.552439420480291,0.578045145858654,"intervention","leftAF"
"14",15,3.72818063874244,0.0559270352232085,"mean_RMSt","leftAF"
"14",15,0.904738657503303,0.410167093288714,"timeintervention","leftAF"
"15",16,0.10855278457517,0.742920667678508,"time","leftAF"
"15",16,0.979010166768474,0.380780361011504,"intervention","leftAF"
"15",16,4.36894189907229,0.0388018894229554,"mean_RMSt","leftAF"
"15",16,1.65384639388139,0.200051191551255,"timeintervention","leftAF"
"16",17,0.599886755495387,0.441576626051562,"time","leftAF"
"16",17,1.4422610074043,0.243155775627732,"intervention","leftAF"
"16",17,5.49675453182657,0.0208642483814807,"mean_RMSt","leftAF"
"16",17,2.34898711925721,0.104234612901642,"timeintervention","leftAF"
"17",18,1.69004429756907,0.198506882975304,"time","leftAF"
"17",18,1.76023895144263,0.179318052157677,"intervention","leftAF"
"17",18,6.51210391154926,0.0121846202612283,"mean_RMSt","leftAF"
"17",18,2.24531473584284,0.114892628245668,"timeintervention","leftAF"
"18",19,2.31187920322958,0.133562235305636,"time","leftAF"
"18",19,2.24694563388012,0.113064833617119,"intervention","leftAF"
"18",19,7.45017524753122,0.00745920077949153,"mean_RMSt","leftAF"
"18",19,2.07643958396184,0.134440335165147,"timeintervention","leftAF"
"19",20,3.07485283068742,0.0844106677413523,"time","leftAF"
"19",20,2.50389430681312,0.0886899688768166,"intervention","leftAF"
"19",20,8.93089347920593,0.00349526029129665,"mean_RMSt","leftAF"
"19",20,2.05794455444556,0.136545304972126,"timeintervention","leftAF"
"2",3,1.19467529093087,0.278048889580978,"time","leftAF"
"2",3,0.980090244702822,0.379830774820827,"intervention","leftAF"
"2",3,0.470452335209247,0.494047161159055,"mean_RMSt","leftAF"
"2",3,1.79463274078449,0.173841361415814,"timeintervention","leftAF"
"20",21,4.20372648390056,0.0444854529185738,"time","leftAF"
"20",21,2.14869104346953,0.123761624697805,"intervention","leftAF"
"20",21,9.3978138595019,0.0027753435672535,"mean_RMSt","leftAF"
"20",21,2.03649756729509,0.139207740201179,"timeintervention","leftAF"
"21",22,5.51894060130814,0.0219881944139558,"time","leftAF"
"21",22,1.29747495877951,0.279291659940829,"intervention","leftAF"
"21",22,9.12986509195691,0.00319692217392837,"mean_RMSt","leftAF"
"21",22,1.87832465630921,0.161621934647839,"timeintervention","leftAF"
"22",23,5.13889841845493,0.0269162501498839,"time","leftAF"
"22",23,0.510056799380364,0.602559640924464,"intervention","leftAF"
"22",23,8.4751810748796,0.00444478095056043,"mean_RMSt","leftAF"
"22",23,1.36709823106633,0.262688698335424,"timeintervention","leftAF"
"23",24,4.456772696041,0.0388192705764792,"time","leftAF"
"23",24,0.151169741426903,0.859969073124301,"intervention","leftAF"
"23",24,7.60478948457865,0.00689275460494101,"mean_RMSt","leftAF"
"23",24,0.689890321995502,0.505574293629702,"timeintervention","leftAF"
"24",25,3.19986563444212,0.0784602018355994,"time","leftAF"
"24",25,0.27407020172858,0.76105402448196,"intervention","leftAF"
"24",25,6.60015717355905,0.0115595680477831,"mean_RMSt","leftAF"
"24",25,0.356092459074427,0.701857446051931,"timeintervention","leftAF"
"25",26,1.97203439751263,0.164952174669137,"time","leftAF"
"25",26,0.819745592168332,0.444487509170529,"intervention","leftAF"
"25",26,5.29684819876607,0.0231447963925198,"mean_RMSt","leftAF"
"25",26,0.266831784922125,0.766659029080431,"timeintervention","leftAF"
"26",27,1.2101054475356,0.275219734318368,"time","leftAF"
"26",27,1.27244412289472,0.28610252553334,"intervention","leftAF"
"26",27,4.22064836891347,0.0420967387618886,"mean_RMSt","leftAF"
"26",27,0.301689192460591,0.740596291164967,"timeintervention","leftAF"
"27",28,0.962231080523821,0.330192114196964,"time","leftAF"
"27",28,1.09392574215547,0.34022584508921,"intervention","leftAF"
"27",28,3.80844242983394,0.0533447374703627,"mean_RMSt","leftAF"
"27",28,0.340668445924496,0.71257784849159,"timeintervention","leftAF"
"28",29,1.05268931717959,0.308773710104398,"time","leftAF"
"28",29,0.556489011108762,0.575641629433713,"intervention","leftAF"
"28",29,4.39970220823073,0.0381509306346461,"mean_RMSt","leftAF"
"28",29,0.504582147535837,0.606239337748962,"timeintervention","leftAF"
"29",30,1.51485242929913,0.22308254037985,"time","leftAF"
"29",30,0.160547222866843,0.851984435222733,"intervention","leftAF"
"29",30,5.39345878264056,0.0220534376561133,"mean_RMSt","leftAF"
"29",30,0.654270710344116,0.523523560308342,"timeintervention","leftAF"
"3",4,0.106212111605969,0.745411357163009,"time","leftAF"
"3",4,1.30451039859358,0.276976507210377,"intervention","leftAF"
"3",4,1.48562224439085,0.225143806981893,"mean_RMSt","leftAF"
"3",4,0.709349642250691,0.495369934389808,"timeintervention","leftAF"
"30",31,2.51397227820009,0.117982287097364,"time","leftAF"
"30",31,0.195057118229584,0.823224156786964,"intervention","leftAF"
"30",31,5.69575114572635,0.0187383773577437,"mean_RMSt","leftAF"
"30",31,0.683734278327294,0.508663677895131,"timeintervention","leftAF"
"31",32,3.43332512451231,0.0686030936998323,"time","leftAF"
"31",32,0.566697113652073,0.569888376788886,"intervention","leftAF"
"31",32,5.44619432057501,0.0214215704772378,"mean_RMSt","leftAF"
"31",32,0.784400866531221,0.460974543634382,"timeintervention","leftAF"
"32",33,3.59634412095475,0.0624260974405406,"time","leftAF"
"32",33,1.07086133287506,0.347986804683668,"intervention","leftAF"
"32",33,5.34578179384533,0.0226056466070413,"mean_RMSt","leftAF"
"32",33,0.847809024938152,0.433272395781302,"timeintervention","leftAF"
"33",34,3.26171261622889,0.0756144333055593,"time","leftAF"
"33",34,1.50571939024368,0.228538575416833,"intervention","leftAF"
"33",34,5.64921517602641,0.0192044276426424,"mean_RMSt","leftAF"
"33",34,0.787960548832612,0.459272426890289,"timeintervention","leftAF"
"34",35,3.00334634299531,0.087931214319647,"time","leftAF"
"34",35,1.56744561078746,0.215333616844187,"intervention","leftAF"
"34",35,6.56124906235608,0.0118396522962142,"mean_RMSt","leftAF"
"34",35,0.496860703943783,0.610847991609549,"timeintervention","leftAF"
"35",36,3.52677341625482,0.0649939635056612,"time","leftAF"
"35",36,1.15619444304174,0.320183711972581,"intervention","leftAF"
"35",36,8.12962111209196,0.00528409939536436,"mean_RMSt","leftAF"
"35",36,0.251203428610526,0.778658197285676,"timeintervention","leftAF"
"36",37,4.42114271416733,0.0394876342715494,"time","leftAF"
"36",37,0.687235714830087,0.506053362943279,"intervention","leftAF"
"36",37,9.86319331225299,0.0022335533714873,"mean_RMSt","leftAF"
"36",37,0.142343395321185,0.867608297068282,"timeintervention","leftAF"
"37",38,4.60995063692923,0.0356721152241581,"time","leftAF"
