"time","intervention","tract","node","mean_fa","sd","se"
"ses-01","ActiveControl","Left_Arcuate",2,0.2242785,0.00860545926784424,0.00192423919005053
"ses-01","ActiveControl","Left_Arcuate",3,0.26281,0.019077027518651,0.00426575303403378
"ses-01","ActiveControl","Left_Arcuate",4,0.294038,0.0266454243331709,0.00595809800982972
"ses-01","ActiveControl","Left_Arcuate",5,0.319694,0.0337574090736896,0.00754838614330382
"ses-01","ActiveControl","Left_Arcuate",6,0.3422795,0.0380102683460252,0.00849935438647207
"ses-01","ActiveControl","Left_Arcuate",7,0.3601125,0.0417908093490977,0.00934470905393162
"ses-01","ActiveControl","Left_Arcuate",8,0.3734155,0.0429830455528689,0.00961130117361848
"ses-01","ActiveControl","Left_Arcuate",9,0.387986,0.0441349036477933,0.00986886447368693
"ses-01","ActiveControl","Left_Arcuate",10,0.398309,0.0456066567047999,0.0101979584618429
"ses-01","ActiveControl","Left_Arcuate",11,0.4041645,0.0465360321601501,0.0104057731313212
"ses-01","ActiveControl","Left_Arcuate",12,0.411282,0.0470487442194962,0.0105204190330794
"ses-01","ActiveControl","Left_Arcuate",13,0.4197855,0.0472874974546795,0.0105738058794512
"ses-01","ActiveControl","Left_Arcuate",14,0.425284,0.0478219503003204,0.0106933131688133
"ses-01","ActiveControl","Left_Arcuate",15,0.42659,0.0512315453808029,0.0114557218063841
"ses-01","ActiveControl","Left_Arcuate",16,0.4246015,0.0567118843272499,0.0126811628487836
"ses-01","ActiveControl","Left_Arcuate",17,0.4219765,0.0623758261436693,0.0139476587409953
"ses-01","ActiveControl","Left_Arcuate",18,0.4209225,0.0684471928512085,0.015305257608434
"ses-01","ActiveControl","Left_Arcuate",19,0.4210205,0.0730107819344801,0.0163257071495911
"ses-01","ActiveControl","Left_Arcuate",20,0.4226655,0.0750378069954354,0.0167789637324303
"ses-01","ActiveControl","Left_Arcuate",21,0.426315,0.0746706381031851,0.0166968622722008
"ses-01","ActiveControl","Left_Arcuate",22,0.4316145,0.0725272469653193,0.0162175854435369
"ses-01","ActiveControl","Left_Arcuate",23,0.439462,0.0674469199952237,0.015081589798231
"ses-01","ActiveControl","Left_Arcuate",24,0.447299,0.0624187901786667,0.0139572657912795
"ses-01","ActiveControl","Left_Arcuate",25,0.455704,0.0582462647006565,0.0130242607306114
"ses-01","ActiveControl","Left_Arcuate",26,0.4638545,0.0536156703796862,0.01198882836282
"ses-01","ActiveControl","Left_Arcuate",27,0.4697695,0.0499855473296242,0.0111771081721573
"ses-01","ActiveControl","Left_Arcuate",28,0.4721605,0.0482903757955318,0.010798056293782
"ses-01","ActiveControl","Left_Arcuate",29,0.4724225,0.0491464099320645,0.0109894713458167
"ses-01","ActiveControl","Left_Arcuate",30,0.4715685,0.0502944769673674,0.0112461869391831
"ses-01","ActiveControl","Left_Arcuate",31,0.470682,0.0506368827094077,0.0113227511906919
"ses-01","ActiveControl","Left_Arcuate",32,0.4700385,0.0500855102772932,0.0111994605667792
"ses-01","ActiveControl","Left_Arcuate",33,0.4701545,0.0482986883852641,0.010799915045353
"ses-01","ActiveControl","Left_Arcuate",34,0.4693025,0.0498359065095798,0.0111436474675745
"ses-01","ActiveControl","Left_Arcuate",35,0.4669025,0.0550909643823644,0.0123187141304987
"ses-01","ActiveControl","Left_Arcuate",36,0.463971,0.0612242715802019,0.013690163312624
"ses-01","ActiveControl","Left_Arcuate",37,0.46244,0.0652663917704728,0.014594008864491
"ses-01","ActiveControl","Left_Arcuate",38,0.4632305,0.0674645962104725,0.0150855423201191
"ses-01","ActiveControl","Left_Arcuate",39,0.465265,0.0693085824031688,0.0154978701677631
"ses-01","ActiveControl","Left_Arcuate",40,0.4667295,0.0711414197567071,0.0159077050591844
"ses-01","ActiveControl","Left_Arcuate",41,0.4661305,0.0716196117271475,0.0160146320344043
"ses-01","ActiveControl","Left_Arcuate",42,0.4642615,0.0707331448603984,0.0158164120170191
"ses-01","ActiveControl","Left_Arcuate",43,0.4611785,0.0702903823828432,0.0157174073172491
"ses-01","ActiveControl","Left_Arcuate",44,0.4578565,0.0675876878600175,0.0151130664497036
"ses-01","ActiveControl","Left_Arcuate",45,0.4526155,0.0632336101065348,0.014139465066093
"ses-01","ActiveControl","Left_Arcuate",46,0.4472855,0.0584713363403048,0.0130745882792175
"ses-01","ActiveControl","Left_Arcuate",47,0.4417855,0.054491668844155,0.0121847075742938
"ses-01","ActiveControl","Left_Arcuate",48,0.436743,0.0505546159171081,0.0113043557767047
"ses-01","ActiveControl","Left_Arcuate",49,0.432428,0.0462081259201521,0.010332451067033
"ses-01","ActiveControl","Left_Arcuate",50,0.4279175,0.0448238510141291,0.0100229177880916
"ses-01","ActiveControl","Left_Arcuate",51,0.424877,0.0464311183197331,0.0103823136834259
"ses-01","ActiveControl","Left_Arcuate",52,0.4231385,0.0488818763395359,0.0109303198362941
"ses-01","ActiveControl","Left_Arcuate",53,0.42151,0.0512287838498714,0.0114551043092956
"ses-01","ActiveControl","Left_Arcuate",54,0.4221285,0.0493250793767868,0.0110294230482068
"ses-01","ActiveControl","Left_Arcuate",55,0.423063,0.0468167008100405,0.010468532549352
"ses-01","ActiveControl","Left_Arcuate",56,0.4230145,0.0507163467340919,0.0113405198867879
"ses-01","ActiveControl","Left_Arcuate",57,0.4248535,0.0570710453156507,0.0127614736872766
"ses-01","ActiveControl","Left_Arcuate",58,0.4262855,0.0683404179919599,0.0152813820240772
"ses-01","ActiveControl","Left_Arcuate",59,0.4297615,0.0740032887800479,0.0165476384270735
"ses-01","ActiveControl","Left_Arcuate",60,0.433269,0.0766583021836788,0.0171413174722426
"ses-01","ActiveControl","Left_Arcuate",61,0.438085,0.0767523371493972,0.0171623443298035
"ses-01","ActiveControl","Left_Arcuate",62,0.444119,0.0744984856716458,0.0166583678182594
"ses-01","ActiveControl","Left_Arcuate",63,0.452067,0.0699528973178231,0.0156419433625715
"ses-01","ActiveControl","Left_Arcuate",64,0.4612065,0.0663816512595715,0.0148433884675086
"ses-01","ActiveControl","Left_Arcuate",65,0.4688495,0.0663210713895905,0.0148298423967741
"ses-01","ActiveControl","Left_Arcuate",66,0.4745375,0.0665922506061289,0.0148904799130006
"ses-01","ActiveControl","Left_Arcuate",67,0.4788605,0.0672500954000497,0.0150375784807857
"ses-01","ActiveControl","Left_Arcuate",68,0.4826575,0.0688378889607965,0.0153926199143923
"ses-01","ActiveControl","Left_Arcuate",69,0.484497,0.0713973153040895,0.015964925043093
"ses-01","ActiveControl","Left_Arcuate",70,0.488601,0.0709927603351215,0.0158744638019682
"ses-01","ActiveControl","Left_Arcuate",71,0.491916,0.0679411602553423,0.0151921052801152
"ses-01","ActiveControl","Left_Arcuate",72,0.491149,0.0640808586988264,0.0143289156107134
"ses-01","ActiveControl","Left_Arcuate",73,0.487543,0.0613075446632107,0.0137087837400544
"ses-01","ActiveControl","Left_Arcuate",74,0.484083,0.0615696054627777,0.0137673823162613
"ses-01","ActiveControl","Left_Arcuate",75,0.480723,0.0605294024334238,0.0135347858478577
"ses-01","ActiveControl","Left_Arcuate",76,0.4775755,0.0597536212930361,0.0133613159113008
"ses-01","ActiveControl","Left_Arcuate",77,0.4759365,0.0615435994598438,0.013761567197223
"ses-01","ActiveControl","Left_Arcuate",78,0.4730715,0.0653046249893528,0.0146025580721324
"ses-01","ActiveControl","Left_Arcuate",79,0.467743,0.0691824109909905,0.0154696573823183
"ses-01","ActiveControl","Left_Arcuate",80,0.4586015,0.0714253610624037,0.0159711962653001
"ses-01","ActiveControl","Left_Arcuate",81,0.447993,0.0744333621506689,0.0166438057562756
"ses-01","ActiveControl","Left_Arcuate",82,0.440425,0.0744904139717602,0.0166565629312956
"ses-01","ActiveControl","Left_Arcuate",83,0.434644,0.0737193479138422,0.0164841473192308
"ses-01","ActiveControl","Left_Arcuate",84,0.427481,0.0725772676386673,0.0162287704061256
"ses-01","ActiveControl","Left_Arcuate",85,0.4196935,0.0709388013694681,0.0158623982104486
"ses-01","ActiveControl","Left_Arcuate",86,0.4112515,0.068103016261744,0.0152282973834033
"ses-01","ActiveControl","Left_Arcuate",87,0.402346,0.0657514502861864,0.0147024712459111
"ses-01","ActiveControl","Left_Arcuate",88,0.396778,0.0631218344573663,0.014114471271116
"ses-01","ActiveControl","Left_Arcuate",89,0.391595,0.0598849065862351,0.0133906721953047
"ses-01","ActiveControl","Left_Arcuate",90,0.3838505,0.0534963628350465,0.0119621503848157
"ses-01","ActiveControl","Left_Arcuate",91,0.3759375,0.0493652211768782,0.0110383990275812
"ses-01","ActiveControl","Left_Arcuate",92,0.366038,0.0474162222517946,0.0106025896191251
"ses-01","ActiveControl","Left_Arcuate",93,0.3538295,0.0472062873237743,0.0105556467421346
"ses-01","ActiveControl","Left_Arcuate",94,0.3405045,0.0411201804054767,0.00919475186337007
"ses-01","ActiveControl","Left_Arcuate",95,0.3306785,0.0323347944049522,0.00723027983279529
"ses-01","ActiveControl","Left_Arcuate",96,0.3193405,0.0236923135381388,0.00529776236155168
"ses-01","ActiveControl","Left_Arcuate",97,0.3009065,0.0203889023671418,0.00455909716795355
"ses-01","ActiveControl","Left_Arcuate",98,0.2716545,0.0174313560407976,0.00389776970472251
"ses-01","ActiveControl","Left_Arcuate",99,0.2298315,0.0110611883224753,0.00247335690009816
"ses-01","ActiveControl","Left_IFOF",2,0.262186666666667,0.0194310054637771,0.00424019301746947
"ses-01","ActiveControl","Left_IFOF",3,0.310601428571429,0.0267662935958108,0.00584088411791499
"ses-01","ActiveControl","Left_IFOF",4,0.340927619047619,0.0371846850067016,0.00811436351125236
"ses-01","ActiveControl","Left_IFOF",5,0.357667142857143,0.0411440445438774,0.00897836659614063
"ses-01","ActiveControl","Left_IFOF",6,0.370116666666667,0.0424452726853455,0.00926231785588748
"ses-01","ActiveControl","Left_IFOF",7,0.37870380952381,0.0404530773212855,0.0088275851866044
"ses-01","ActiveControl","Left_IFOF",8,0.388390952380952,0.0424525049796548,0.00926389607189324
"ses-01","ActiveControl","Left_IFOF",9,0.402203333333333,0.0484500943583533,0.0105726773726146
"ses-01","ActiveControl","Left_IFOF",10,0.419505238095238,0.0567177721370513,0.0123768325746331
"ses-01","ActiveControl","Left_IFOF",11,0.43888380952381,0.0609917964546209,0.0133095011440305
"ses-01","ActiveControl","Left_IFOF",12,0.45661,0.066642581732703,0.0145426035855901
"ses-01","ActiveControl","Left_IFOF",13,0.471924761904762,0.0686590074658124,0.0149826237548868
"ses-01","ActiveControl","Left_IFOF",14,0.483431904761905,0.0678298418558563,0.014801684984826
"ses-01","ActiveControl","Left_IFOF",15,0.491763333333333,0.0701035085665,0.0152978397375224
"ses-01","ActiveControl","Left_IFOF",16,0.496998095238095,0.073114839780926,0.0159549660819363
"ses-01","ActiveControl","Left_IFOF",17,0.500812380952381,0.0724761942919716,0.0158156022107279
"ses-01","ActiveControl","Left_IFOF",18,0.502425238095238,0.0771374403010009,0.0168327694806892
"ses-01","ActiveControl","Left_IFOF",19,0.503910476190476,0.0801785555168083,0.0174963952270473
"ses-01","ActiveControl","Left_IFOF",20,0.503221428571429,0.0794238239626949,0.0173316992996141
"ses-01","ActiveControl","Left_IFOF",21,0.499607142857143,0.0780957455398729,0.017041888828118
"ses-01","ActiveControl","Left_IFOF",22,0.496093333333333,0.0731887697214083,0.0159710989175736
"ses-01","ActiveControl","Left_IFOF",23,0.494428095238095,0.0646118084113924,0.0140994525158662
"ses-01","ActiveControl","Left_IFOF",24,0.495549523809524,0.0570627820454095,0.0124521199089455
"ses-01","ActiveControl","Left_IFOF",25,0.493854761904762,0.0569776637480906,0.0124335455736841
"ses-01","ActiveControl","Left_IFOF",26,0.492074285714286,0.0592155198889133,0.0129218858193861
"ses-01","ActiveControl","Left_IFOF",27,0.493681428571429,0.0582990515605284,0.0127218960342978
"ses-01","ActiveControl","Left_IFOF",28,0.497104761904762,0.053930136901277,0.0117685206947349
"ses-01","ActiveControl","Left_IFOF",29,0.501690952380952,0.0533744812531946,0.0116472666915126
"ses-01","ActiveControl","Left_IFOF",30,0.508385714285714,0.0581398140323332,0.0126871475568487
"ses-01","ActiveControl","Left_IFOF",31,0.512618571428571,0.0645843674030887,0.0140934643969282
"ses-01","ActiveControl","Left_IFOF",32,0.516330476190476,0.0653397616674709,0.0142583049395981
"ses-01","ActiveControl","Left_IFOF",33,0.519651904761905,0.0636715825638917,0.0138942784150792
"ses-01","ActiveControl","Left_IFOF",34,0.520967619047619,0.0633265910897438,0.0138189951034413
"ses-01","ActiveControl","Left_IFOF",35,0.518359523809524,0.0630615373644023,0.0137611556386981
"ses-01","ActiveControl","Left_IFOF",36,0.515300952380953,0.0625426316926912,0.0136479211377858
"ses-01","ActiveControl","Left_IFOF",37,0.510551904761905,0.0615058924509715,0.0134216860877329
"ses-01","ActiveControl","Left_IFOF",38,0.504570952380952,0.0593834572001969,0.0129585327451463
"ses-01","ActiveControl","Left_IFOF",39,0.494456190476191,0.0571093502393602,0.0124622819219815
"ses-01","ActiveControl","Left_IFOF",40,0.48274380952381,0.0552048427654848,0.0120466843190938
"ses-01","ActiveControl","Left_IFOF",41,0.472885714285714,0.0534281537741506,0.0116589789957993
"ses-01","ActiveControl","Left_IFOF",42,0.462288571428571,0.0555641935319603,0.0121251010852088
"ses-01","ActiveControl","Left_IFOF",43,0.454217142857143,0.0533846008829192,0.0116494749757611
"ses-01","ActiveControl","Left_IFOF",44,0.44395,0.0519261755764855,0.0113312204823244
"ses-01","ActiveControl","Left_IFOF",45,0.434493809523809,0.0465056998093987,0.0101483756963554
"ses-01","ActiveControl","Left_IFOF",46,0.427481904761905,0.0426103961045949,0.00929835074006465
"ses-01","ActiveControl","Left_IFOF",47,0.421739523809524,0.0423767158326587,0.00924735752413295
"ses-01","ActiveControl","Left_IFOF",48,0.41922619047619,0.0438752605093338,0.00957436678190137
"ses-01","ActiveControl","Left_IFOF",49,0.420324285714286,0.0448314787366454,0.0097830307060705
"ses-01","ActiveControl","Left_IFOF",50,0.424781904761905,0.0453617901563692,0.0098987541452507
"ses-01","ActiveControl","Left_IFOF",51,0.429601904761905,0.0470712832435071,0.0102717961200989
"ses-01","ActiveControl","Left_IFOF",52,0.433201428571429,0.0476746809413251,0.01040346829269
"ses-01","ActiveControl","Left_IFOF",53,0.435545714285714,0.0472251214473217,0.0103053663683731
"ses-01","ActiveControl","Left_IFOF",54,0.434685714285714,0.050027888079693,0.010916980189713
"ses-01","ActiveControl","Left_IFOF",55,0.436431904761905,0.0523893733135879,0.011432298515277
"ses-01","ActiveControl","Left_IFOF",56,0.438136666666667,0.0548096135119865,0.0119604382252358
"ses-01","ActiveControl","Left_IFOF",57,0.440829047619048,0.0577308652199811,0.0125979076098027
"ses-01","ActiveControl","Left_IFOF",58,0.442026666666667,0.0646097581123265,0.0140990051039297
"ses-01","ActiveControl","Left_IFOF",59,0.446591428571429,0.0665384517617982,0.0145198805630289
"ses-01","ActiveControl","Left_IFOF",60,0.45223380952381,0.067121075488716,0.0146470194835184
"ses-01","ActiveControl","Left_IFOF",61,0.452812380952381,0.0664678936709117,0.0145044835252966
"ses-01","ActiveControl","Left_IFOF",62,0.445245714285714,0.0664573433543223,0.0145021812574692
"ses-01","ActiveControl","Left_IFOF",63,0.432657619047619,0.0652608210877523,0.0142410786928379
"ses-01","ActiveControl","Left_IFOF",64,0.414922857142857,0.065617431079162,0.0143188973728004
"ses-01","ActiveControl","Left_IFOF",65,0.399249047619048,0.0614715986374815,0.0134142025641049
"ses-01","ActiveControl","Left_IFOF",66,0.388766666666667,0.0574626133527995,0.0125393702532945
"ses-01","ActiveControl","Left_IFOF",67,0.384415714285714,0.0557842293638111,0.0121731168402116
"ses-01","ActiveControl","Left_IFOF",68,0.382437619047619,0.0542369951144753,0.0118354826466206
"ses-01","ActiveControl","Left_IFOF",69,0.383809523809524,0.0491058310668082,0.0107157708536839
"ses-01","ActiveControl","Left_IFOF",70,0.385560476190476,0.0443131886097345,0.00966993052804587
"ses-01","ActiveControl","Left_IFOF",71,0.386888571428571,0.0496299426038067,0.0108301413675361
"ses-01","ActiveControl","Left_IFOF",72,0.38421380952381,0.0576342288467704,0.0125768198243206
"ses-01","ActiveControl","Left_IFOF",73,0.380082857142857,0.0577636285341267,0.0126050571510927
"ses-01","ActiveControl","Left_IFOF",74,0.377302380952381,0.0526894617456624,0.0114977831798085
"ses-01","ActiveControl","Left_IFOF",75,0.375842857142857,0.0508696175671547,0.0111006606226163
"ses-01","ActiveControl","Left_IFOF",76,0.376579047619048,0.0518421247543696,0.0113128790892496
"ses-01","ActiveControl","Left_IFOF",77,0.381875714285714,0.0537741151086123,0.0117344739483088
"ses-01","ActiveControl","Left_IFOF",78,0.390312380952381,0.0564072797522414,0.0123090775814855
"ses-01","ActiveControl","Left_IFOF",79,0.399697142857143,0.0604315583236819,0.0131872471610672
"ses-01","ActiveControl","Left_IFOF",80,0.408286190476191,0.0665266971580726,0.0145173154982034
