"time","risk","tract","node","mean_fa","sd","se"
"ses-01","0","Left_Arcuate",2,0.2273732,0.00673070372744683,0.00134614074548937
"ses-01","0","Left_Arcuate",3,0.2663924,0.0168211781890172,0.00336423563780343
"ses-01","0","Left_Arcuate",4,0.2991708,0.0246736571603536,0.00493473143207071
"ses-01","0","Left_Arcuate",5,0.3262636,0.0293141485861918,0.00586282971723837
"ses-01","0","Left_Arcuate",6,0.3451936,0.0398053466760434,0.00796106933520868
"ses-01","0","Left_Arcuate",7,0.3640116,0.048840229718952,0.0097680459437904
"ses-01","0","Left_Arcuate",8,0.383042,0.053166611076251,0.0106333222152502
"ses-01","0","Left_Arcuate",9,0.3965448,0.0537752798009147,0.0107550559601829
"ses-01","0","Left_Arcuate",10,0.4041312,0.0501391757444549,0.010027835148891
"ses-01","0","Left_Arcuate",11,0.4137188,0.0499985281716706,0.00999970563433411
"ses-01","0","Left_Arcuate",12,0.4225204,0.0499817888068578,0.00999635776137156
"ses-01","0","Left_Arcuate",13,0.4330904,0.0503423919674066,0.0100684783934813
"ses-01","0","Left_Arcuate",14,0.4428704,0.0511703602749352,0.010234072054987
"ses-01","0","Left_Arcuate",15,0.4498944,0.051769500841068,0.0103539001682136
"ses-01","0","Left_Arcuate",16,0.457464,0.0548325390773277,0.0109665078154655
"ses-01","0","Left_Arcuate",17,0.4595044,0.0553376517451425,0.0110675303490285
"ses-01","0","Left_Arcuate",18,0.4569336,0.0581328697812176,0.0116265739562435
"ses-01","0","Left_Arcuate",19,0.456354,0.0566407645458051,0.011328152909161
"ses-01","0","Left_Arcuate",20,0.4546088,0.0477010880658572,0.00954021761317145
"ses-01","0","Left_Arcuate",21,0.4517284,0.0421816236332047,0.00843632472664094
"ses-01","0","Left_Arcuate",22,0.4481492,0.0410672300340146,0.00821344600680291
"ses-01","0","Left_Arcuate",23,0.4452632,0.0417256943940621,0.00834513887881242
"ses-01","0","Left_Arcuate",24,0.4433096,0.0435568072062221,0.00871136144124442
"ses-01","0","Left_Arcuate",25,0.4434468,0.0454926894053686,0.00909853788107371
"ses-01","0","Left_Arcuate",26,0.4450196,0.0480770091866511,0.00961540183733022
"ses-01","0","Left_Arcuate",27,0.4481004,0.0524385942063032,0.0104877188412606
"ses-01","0","Left_Arcuate",28,0.452934,0.0556646706478475,0.0111329341295695
"ses-01","0","Left_Arcuate",29,0.4606944,0.0554562997683762,0.0110912599536752
"ses-01","0","Left_Arcuate",30,0.468926,0.0539123629142704,0.0107824725828541
"ses-01","0","Left_Arcuate",31,0.4752304,0.0539694883305991,0.0107938976661198
"ses-01","0","Left_Arcuate",32,0.4800752,0.0543558311131382,0.0108711662226276
"ses-01","0","Left_Arcuate",33,0.4838028,0.053352548870696,0.0106705097741392
"ses-01","0","Left_Arcuate",34,0.4863484,0.0516303054319844,0.0103260610863969
"ses-01","0","Left_Arcuate",35,0.4860124,0.0519271310973368,0.0103854262194674
"ses-01","0","Left_Arcuate",36,0.4822708,0.05355685498608,0.010711370997216
"ses-01","0","Left_Arcuate",37,0.4777844,0.0531052761095041,0.0106210552219008
"ses-01","0","Left_Arcuate",38,0.4742172,0.0514774704377232,0.0102954940875446
"ses-01","0","Left_Arcuate",39,0.4711356,0.0499895211586055,0.0099979042317211
"ses-01","0","Left_Arcuate",40,0.4688556,0.048086862817891,0.0096173725635782
"ses-01","0","Left_Arcuate",41,0.465862,0.0477020852094888,0.00954041704189777
"ses-01","0","Left_Arcuate",42,0.4630596,0.0477053835606283,0.00954107671212566
"ses-01","0","Left_Arcuate",43,0.4616568,0.0485489244405407,0.00970978488810814
"ses-01","0","Left_Arcuate",44,0.4603892,0.0504614923250063,0.0100922984650013
"ses-01","0","Left_Arcuate",45,0.459546,0.0520906571117445,0.0104181314223489
"ses-01","0","Left_Arcuate",46,0.4593576,0.0517130009668749,0.010342600193375
"ses-01","0","Left_Arcuate",47,0.4593464,0.0502021666099516,0.0100404333219903
"ses-01","0","Left_Arcuate",48,0.457936,0.0484666803931663,0.00969333607863327
"ses-01","0","Left_Arcuate",49,0.4556232,0.0474314325034922,0.00948628650069843
"ses-01","0","Left_Arcuate",50,0.4533872,0.0470241051235073,0.00940482102470146
"ses-01","0","Left_Arcuate",51,0.4502848,0.0479157348129679,0.00958314696259358
"ses-01","0","Left_Arcuate",52,0.4458132,0.0510366090599026,0.0102073218119805
"ses-01","0","Left_Arcuate",53,0.4410184,0.0556553519199487,0.0111310703839897
"ses-01","0","Left_Arcuate",54,0.4353016,0.0592196658411151,0.011843933168223
"ses-01","0","Left_Arcuate",55,0.431176,0.0602489280679195,0.0120497856135839
"ses-01","0","Left_Arcuate",56,0.4298804,0.0593585913102167,0.0118717182620433
"ses-01","0","Left_Arcuate",57,0.4300304,0.058574859900245,0.011714971980049
"ses-01","0","Left_Arcuate",58,0.4337896,0.0567034461386607,0.0113406892277321
"ses-01","0","Left_Arcuate",59,0.4412196,0.0575056463517569,0.0115011292703514
"ses-01","0","Left_Arcuate",60,0.4493344,0.0612239791040515,0.0122447958208103
"ses-01","0","Left_Arcuate",61,0.4579512,0.0650577002437067,0.0130115400487414
"ses-01","0","Left_Arcuate",62,0.4668544,0.0676198420756314,0.0135239684151263
"ses-01","0","Left_Arcuate",63,0.4761604,0.0689535195185859,0.0137907039037172
"ses-01","0","Left_Arcuate",64,0.4865232,0.0709715958864296,0.0141943191772859
"ses-01","0","Left_Arcuate",65,0.4957536,0.0744934550189926,0.0148986910037985
"ses-01","0","Left_Arcuate",66,0.5018636,0.0764840139549871,0.0152968027909974
"ses-01","0","Left_Arcuate",67,0.5062508,0.0767894158244915,0.0153578831648983
"ses-01","0","Left_Arcuate",68,0.5076844,0.0731760217489309,0.0146352043497862
"ses-01","0","Left_Arcuate",69,0.5064184,0.0677822236824179,0.0135564447364836
"ses-01","0","Left_Arcuate",70,0.5045104,0.0651382622759721,0.0130276524551944
"ses-01","0","Left_Arcuate",71,0.50139,0.0655636893282656,0.0131127378656531
"ses-01","0","Left_Arcuate",72,0.4961776,0.0616915728496743,0.0123383145699349
"ses-01","0","Left_Arcuate",73,0.492742,0.0625708472453426,0.0125141694490685
"ses-01","0","Left_Arcuate",74,0.4925048,0.0649575571123176,0.0129915114224635
"ses-01","0","Left_Arcuate",75,0.4934108,0.0611503963546708,0.0122300792709342
"ses-01","0","Left_Arcuate",76,0.4933864,0.0550834559917949,0.011016691198359
"ses-01","0","Left_Arcuate",77,0.4913972,0.0523500368926963,0.0104700073785393
"ses-01","0","Left_Arcuate",78,0.4878988,0.053843013112195,0.010768602622439
"ses-01","0","Left_Arcuate",79,0.4819476,0.0574394917340558,0.0114878983468112
"ses-01","0","Left_Arcuate",80,0.4775516,0.0551385711699774,0.0110277142339955
"ses-01","0","Left_Arcuate",81,0.4699456,0.0541231745712192,0.0108246349142438
"ses-01","0","Left_Arcuate",82,0.4615824,0.0576568841856721,0.0115313768371344
"ses-01","0","Left_Arcuate",83,0.4553512,0.0588912840410192,0.0117782568082038
"ses-01","0","Left_Arcuate",84,0.4469672,0.0617323001299428,0.0123464600259886
"ses-01","0","Left_Arcuate",85,0.4394272,0.0620591773712801,0.012411835474256
"ses-01","0","Left_Arcuate",86,0.432442,0.0585693821463058,0.0117138764292612
"ses-01","0","Left_Arcuate",87,0.4218776,0.0555472256492917,0.0111094451298583
"ses-01","0","Left_Arcuate",88,0.408164,0.0546942679050252,0.010938853581005
"ses-01","0","Left_Arcuate",89,0.3960264,0.0582845376064699,0.011656907521294
"ses-01","0","Left_Arcuate",90,0.3859116,0.0590724298834349,0.011814485976687
"ses-01","0","Left_Arcuate",91,0.3776952,0.0561343257374666,0.0112268651474933
"ses-01","0","Left_Arcuate",92,0.3697248,0.0478100075054028,0.00956200150108055
"ses-01","0","Left_Arcuate",93,0.3600808,0.0474262130331599,0.00948524260663198
